key_0,tweet_id,tweet_text,author_username,author_name,products_detected,overall_sentiment,intent,aspect_product,aspect,aspect_sentiment,posted_at_utc,posted_at_lagos,posted_date,posted_hour_utc,posted_hour_lagos,posted_dow,posted_week,created_at
,tweet-1939832077152833566,@Ayobusarii You’ve had multiple complaints? Are you hiding millions in PiggyVest? 👀,ak_vido,David Akanmu,['PiggyVest'],neutral,inquiry,PiggyVest,inquiry,neutral,2025-06-30T23:43:02Z,2025-07-01T00:43:02+01:00,2025-07-01,23,0,Tuesday,2025-W27,2025-06-30T23:43:02Z
,tweet-1939831090346438748,@piggyvest this thing just better be a joke because it is all so upsetting What sort of rubbish is this??,QueenMandla_,MysThick.,['PiggyVest'],very_negative,complaint,PiggyVest,brand_perception,very_negative,2025-06-30T23:39:06Z,2025-07-01T00:39:06+01:00,2025-07-01,23,0,Tuesday,2025-W27,2025-06-30T23:39:06Z
,tweet-1939825647754649929,@Lexybabs @piggyvest I think their sister is also okay. Cowrywise.,obahjoe,Obahjoe,['PiggyVest'],neutral,opinion,,,,2025-06-30T23:17:29Z,2025-07-01T00:17:29+01:00,2025-07-01,23,0,Tuesday,2025-W27,2025-06-30T23:17:29Z
,tweet-1939822032297807924,Wike piggyvest fit see like 21bn for inisde this quote.,custardactivist,ELVIS,['PiggyVest'],neutral,opinion,PiggyVest,investments,neutral,2025-06-30T23:03:07Z,2025-07-01T00:03:07+01:00,2025-07-01,23,0,Tuesday,2025-W27,2025-06-30T23:03:07Z
,tweet-1939820276906434749,@DrRvii @piggyvest Email them?,uche_cjn,Nidai Uche,['PiggyVest'],neutral,opinion,PiggyVest,customer_support,neutral,2025-06-30T22:56:08Z,2025-06-30T23:56:08+01:00,2025-06-30,22,23,Monday,2025-W27,2025-06-30T22:56:08Z
,tweet-1939816731205046414,@piggyvest Thank you so much for having me.,Lizzy_Orji,Elizabeth Orji,['PiggyVest'],very_positive,opinion,PiggyVest,brand_perception,very_positive,2025-06-30T22:42:03Z,2025-06-30T23:42:03+01:00,2025-06-30,22,23,Monday,2025-W27,2025-06-30T22:42:03Z
,tweet-1939816593481244823,Thank you @piggyvest for sharing my story.,Lizzy_Orji,Elizabeth Orji,['PiggyVest'],very_positive,opinion,PiggyVest,brand_perception,very_positive,2025-06-30T22:41:30Z,2025-06-30T23:41:30+01:00,2025-06-30,22,23,Monday,2025-W27,2025-06-30T22:41:30Z
,tweet-1939813485753364506,"The PiggyVest team &gt;&gt;&gt;&gt; I lodged a complaint once and gave them my details and since that time, I’ve not had to give them my details over and over again. It’s so convenient.",Ayobusarii,Fobyn Renty,['PiggyVest'],very_positive,opinion,PiggyVest,customer_support,very_positive,2025-06-30T22:29:09Z,2025-06-30T23:29:09+01:00,2025-06-30,22,23,Monday,2025-W27,2025-06-30T22:29:09Z
,tweet-1939812208415830489,"What is wrong with piggyvest @piggyvest withdrew money from my saving for almost 24hours already debited and have not gotten my money yet, please i saved it for a reason and I need urgently I’m begging let nothing do my savings not even in this economy @piggyvest @cenbank",mojoyinoluwa_RN,Mojoyinoluwa🩺,['PiggyVest'],very_negative,complaint,PiggyVest,withdrawals,very_negative,2025-06-30T22:24:05Z,2025-06-30T23:24:05+01:00,2025-06-30,22,23,Monday,2025-W27,2025-06-30T22:24:05Z
,tweet-1939812208415830489,"What is wrong with piggyvest @piggyvest withdrew money from my saving for almost 24hours already debited and have not gotten my money yet, please i saved it for a reason and I need urgently I’m begging let nothing do my savings not even in this economy @piggyvest @cenbank",mojoyinoluwa_RN,Mojoyinoluwa🩺,['PiggyVest'],very_negative,complaint,PiggyVest,inquiry,very_negative,2025-06-30T22:24:05Z,2025-06-30T23:24:05+01:00,2025-06-30,22,23,Monday,2025-W27,2025-06-30T22:24:05Z
